Vessel ID,Vessel Type,Length (m),ETA Scheduled,Delay (h),ETA Actual,ETD,Service Time (hrs),Assigned Berth,Cargo Volume (tons),Draught (m),Weather at Arrival
VSL_1000,RoRo,337,2025-06-21 08:00:00,0.0,2025-06-21 08:00:00,2025-06-21 14:00:00,6.0,Berth_3,8172,6.97,Storm
VSL_1001,Passenger,374,2025-06-24 07:00:00,0.0,2025-06-24 07:00:00,2025-06-26 03:00:00,44.0,Berth_4,0,7.55,Storm
VSL_1002,RoRo,326,2025-06-02 05:00:00,0.0,2025-06-02 05:00:00,2025-06-03 11:00:00,30.0,Berth_4,7932,6.41,Storm
VSL_1003,Tanker,134,2025-06-27 13:00:00,7.0,2025-06-27 20:00:00,2025-06-29 12:00:00,40.0,Berth_5,46987,15.66,Clear
VSL_1004,RoRo,161,2025-06-06 18:00:00,5.0,2025-06-06 23:00:00,2025-06-08 10:00:00,35.0,Berth_4,4681,6.53,Rain
VSL_1005,Bulk,298,2025-06-17 04:00:00,0.0,2025-06-17 04:00:00,2025-06-18 03:00:00,23.0,Berth_4,31532,14.09,Storm
VSL_1006,Container,182,2025-06-24 00:00:00,0.0,2025-06-24 00:00:00,2025-06-24 09:00:00,9.0,Berth_3,12347,10.63,Clear
VSL_1007,Container,350,2025-06-11 13:00:00,0.0,2025-06-11 13:00:00,2025-06-12 07:00:00,18.0,Berth_5,9993,9.6,Storm
VSL_1008,Container,360,2025-06-25 01:00:00,0.0,2025-06-25 01:00:00,2025-06-25 20:00:00,19.0,Berth_3,17087,9.42,Clear
VSL_1009,Tanker,171,2025-06-14 06:00:00,0.0,2025-06-14 06:00:00,2025-06-14 18:00:00,12.0,Berth_3,47735,15.69,Storm
VSL_1010,RoRo,215,2025-06-09 11:00:00,0.0,2025-06-09 11:00:00,2025-06-09 21:00:00,10.0,Berth_2,2834,7.74,Rain
VSL_1011,Passenger,341,2025-06-06 03:00:00,0.0,2025-06-06 03:00:00,2025-06-07 21:00:00,42.0,Berth_3,0,8.33,Rain
VSL_1012,Container,350,2025-06-22 14:00:00,0.0,2025-06-22 14:00:00,2025-06-24 13:00:00,47.0,Berth_4,21062,9.26,Rain
VSL_1013,RoRo,356,2025-06-07 12:00:00,9.0,2025-06-07 21:00:00,2025-06-09 06:00:00,33.0,Berth_3,7045,8.02,Storm
VSL_1014,RoRo,262,2025-06-19 14:00:00,4.0,2025-06-19 18:00:00,2025-06-21 13:00:00,43.0,Berth_1,4284,8.2,Windy
VSL_1015,RoRo,290,2025-06-25 07:00:00,0.0,2025-06-25 07:00:00,2025-06-27 04:00:00,45.0,Berth_3,2235,7.24,Rain
VSL_1016,Tanker,148,2025-06-21 19:00:00,0.0,2025-06-21 19:00:00,2025-06-22 14:00:00,19.0,Berth_3,32304,14.7,Rain
VSL_1017,Passenger,155,2025-06-01 10:00:00,0.0,2025-06-01 10:00:00,2025-06-03 01:00:00,39.0,Berth_1,0,7.6,Storm
VSL_1018,RoRo,132,2025-06-24 16:00:00,0.0,2025-06-24 16:00:00,2025-06-25 13:00:00,21.0,Berth_4,5671,7.98,Clear
VSL_1019,Bulk,279,2025-06-10 10:00:00,0.0,2025-06-10 10:00:00,2025-06-11 17:00:00,31.0,Berth_3,58513,13.45,Storm
VSL_1020,Passenger,306,2025-06-23 15:00:00,0.0,2025-06-23 15:00:00,2025-06-24 19:00:00,28.0,Berth_5,0,7.83,Storm
VSL_1021,Bulk,362,2025-06-14 01:00:00,12.0,2025-06-14 13:00:00,2025-06-15 11:00:00,22.0,Berth_2,35679,12.3,Windy
VSL_1022,Tanker,205,2025-06-10 05:00:00,10.0,2025-06-10 15:00:00,2025-06-12 03:00:00,36.0,Berth_5,49111,14.71,Clear
VSL_1023,Tanker,185,2025-06-13 15:00:00,0.0,2025-06-13 15:00:00,2025-06-14 11:00:00,20.0,Berth_3,10927,15.77,Windy
VSL_1024,Bulk,289,2025-06-02 22:00:00,0.0,2025-06-02 22:00:00,2025-06-03 07:00:00,9.0,Berth_2,56803,14.17,Storm
VSL_1025,Container,164,2025-06-01 12:00:00,8.0,2025-06-01 20:00:00,2025-06-03 14:00:00,42.0,Berth_4,16164,9.46,Clear
VSL_1026,Bulk,181,2025-06-21 09:00:00,0.0,2025-06-21 09:00:00,2025-06-21 22:00:00,13.0,Berth_4,47227,12.19,Clear
VSL_1027,Tanker,253,2025-06-07 08:00:00,0.0,2025-06-07 08:00:00,2025-06-09 02:00:00,42.0,Berth_1,26265,14.3,Storm
VSL_1028,Passenger,147,2025-06-26 10:00:00,9.0,2025-06-26 19:00:00,2025-06-28 16:00:00,45.0,Berth_4,0,8.13,Storm
VSL_1029,Bulk,227,2025-06-26 02:00:00,0.0,2025-06-26 02:00:00,2025-06-27 11:00:00,33.0,Berth_5,18947,13.52,Clear
VSL_1030,Tanker,163,2025-06-27 16:00:00,2.0,2025-06-27 18:00:00,2025-06-28 13:00:00,19.0,Berth_2,25719,14.43,Clear
